objectid,description,identifier,latitude,longitude
7222,38th St & Delaware St,10100,39.825068,-86.153136
7513,Sutherland Ave & Private Dr,10585,39.814825,-86.14064
8732,Harding St & 18th St,50381,39.791756,-86.187503
8876,Washington St & Ritter Ave,50639,39.770586,-86.073803
7810,Country Club Rd & Frito Lay Dr,11060,39.765606,-86.30793
9802,46th St & Crestview Ave,52279,39.840259,-86.138094
7776,10th St - 4600 W,11014,39.780842,-86.237435
7271,38th St & Sheridan Ave,10208,39.825462,-86.060109
9618,29th St & New Jersey St,51839,39.808358,-86.15104
7549,10th St & Denny St,10726,39.781413,-86.099756
7966,Keystone Ave & Millersville Rd,11826,39.829494,-86.121884
8914,Washington St - 9600 E,50682,39.774825,-85.994055
7475,34th St & Shadeland Ave,10538,39.818474,-86.04641
8453,Pleasant Run Pkwy S Dr & Olive St,12627,39.744869,-86.138859
7883,Keystone Ave - 3565 S,11722,39.714241,-86.120568
7558,10th St & Hawthorne Ln,10739,39.781534,-86.078721
10234,Prospect St & Evison St,53158,39.752455,-86.13194
9914,64th St & Kennedy Ln,52540,39.871989,-86.173191
7916,Rural St & 18th St,11758,39.791084,-86.116538
8867,Washington St & Linwood Ave,50630,39.76964,-86.09277
8252,Kentucky Ave & High School Rd,12350,39.694058,-86.270082
8389,East St & McCarty Ct,12537,39.756481,-86.149573
9095,MLK St & 36th St,50921,39.817333,-86.177215
9265,Arlington Ave & 27th St,51163,39.807776,-86.064511
8387,Virginia Ave & New Jersey St,12535,39.762462,-86.15065
10414,Beechwood Ave & Good Ave,53467,39.763158,-86.066616
10499,IU Health Station NB,70029,39.790493,-86.161396
7930,Keystone Ave - 4150 N,11773,39.831828,-86.121693
9117,Westlane Rd & Michigan Rd,50950,39.885078,-86.208969
7529,Fort Wayne Ave & Sahm St,10700,39.779291,-86.151188
7389,Alabama St & 12th St,10411,39.782828,-86.152124
10334,Emerson Ave & Edgewood Ave,53322,39.680855,-86.082599
9394,Michigan St & Blackford St,51348,39.774326,-86.169579
9063,Bridgeport Rd & Washington St,50861,39.730851,-86.319117
10126,Madison Ave & Powell St,52925,39.690105,-86.135711
9244,New York St & Emerson Ave,51135,39.772297,-86.082846
9682,30th St & Lesley Ave,51922,39.811065,-86.071447
7931,Keystone Ave & Duke St,11775,39.837277,-86.121772
9154,Purdue Rd & Vincennes Rd,50990,39.916483,-86.220668
9451,16th St & Gladstone Ave,51491,39.78885,-86.096781
10104,Westfield Blvd & Meridian St,52854,39.857968,-86.157533
9256,Arlington Ave & 16th St,51152,39.789326,-86.064216
8637,42nd St & Westbourne Dr,50138,39.832949,-86.106596
8196,46th St & Mission Dr,12251,39.838153,-86.272463
7412,34th St & Hovey St,10437,39.818009,-86.132773
9764,Delaware St & 13th St,52207,39.784383,-86.153896
10530,86th St & Ditch Rd,86005,39.912075,-86.183048
9199,MLK St & 28th St,51046,39.806821,-86.17235
9036,Washington St & Victory Field - 800 W,50826,39.765386,-86.169919
9353,Michigan St & Holt Rd,51286,39.773895,-86.228744
8850,Washington St & State Ave,50610,39.767302,-86.130268
7073,Mitthoefer Rd & John Marshall Dr N,10004,39.822324,-85.990973
10490,30th/Museum Station SB,70020,39.810355,-86.156759
9237,New York St & Sherman Dr,51124,39.772035,-86.101889
9229,New York St & Keystone Ave,51115,39.771663,-86.121667
9455,Nowland Ave & Tuxedo St,51497,39.786625,-86.109617
8765,A J Brown Ave & 20th St,50435,39.793906,-86.135372
7950,Keystone Ave & 71st St,11804,39.883911,-86.122262
8051,16th St & Indiana Ave,12005,39.788694,-86.184013
8731,Harding St & 19th St,50380,39.793217,-86.187535
7907,Sherman Dr & Pleasant Run Pkwy S Dr,11748,39.761993,-86.102014
10298,Main St & 08th Ave,53271,39.721722,-86.090797
9858,Allisonville Rd & 62nd St,52378,39.86958,-86.096647
9871,Central Ave & 49th St,52402,39.842862,-86.150003
9064,Washington St & Post Rd,50878,39.774046,-86.009869
8501,County Line Rd & Westminster Dr,12957,39.635629,-86.129672
8243,30th St & Centennial St,12304,39.80969,-86.213477
9453,Brookside Pkwy S Dr & Kealing Ave,51494,39.78883,-86.104318
9671,30th St - 6555 E,51910,39.810973,-86.053335
10023,Zionsville Rd & 76th St,52758,39.890693,-86.259879
9934,Illinois St & 44th St,52571,39.835771,-86.159248
9846,Knue Rd & 82nd St,52338,39.905933,-86.060259
8482,US 31 & Gilbert Ave,12901,39.682518,-86.148788
9910,Hoover Rd - 6800 N JCC,52536,39.87917,-86.174559
8220,34th St & Lupine Terrace,12276,39.816159,-86.272224
10304,Troy Ave & Saint Paul St,53280,39.723197,-86.121846
10467,Post Rd and 42nd St,54017,39.833206,-86.010017
8601,Shadeland Ave & Carlton Arms Pl,50096,39.892251,-86.046007
9431,21st St & Shadeland Ave,51457,39.796336,-86.045032
10479,52nd Station NB,70009,39.845967,-86.145707
8673,Senate Ave & New York St,50302,39.771632,-86.163298
10132,Madison Ave & Banta Rd,52933,39.672432,-86.129736
7895,Keystone Ave & Pleasant Run Pkwy S Dr,11735,39.749511,-86.121075
9670,30th St & Ridgeview Dr,51908,39.81095,-86.057784
9606,30th St & Cold Spring Rd,51823,39.80983,-86.20224
8877,Washington St & Audubon Rd,50640,39.770749,-86.070495
7309,38th St & Tudor Park Dr,10253,39.826173,-85.994818
10497,18th Station NB,70027,39.791163,-86.15727
10173,Madison Ave & Blazek Dr,53011,39.689143,-86.135185
8304,Missouri St & South St,12407,39.76222,-86.1655
10310,Troy Ave & Allen Ave,53287,39.722731,-86.144226
8555,Illinois St & 28th St,50021,39.80645,-86.15896
7490,34th St & Forest Manor Ave,10559,39.818298,-86.097684
8522,Fletcher ave & College Ave,13014,39.761115,-86.145668
8078,Meadowood Dr & Private Dr,12039,39.80371,-86.258237
9536,Mitthoefer Rd & Willowtree Ln,51681,39.808537,-85.990869
9164,Michigan Rd - 8000 N,51004,39.899349,-86.216937
9634,30th St & Adams St,51861,39.810734,-86.109833
8893,Washington St & Gibson Ave,50657,39.773463,-86.016679
8609,Shadeland Ave & Private Dr - Country Inn & Suites,50104,39.899141,-86.046227
